coreid,identifier,accessURI,thumbnailAccessURI,goodQualityAccessURI,rights,Owner,UsageTerms,WebStatement,caption,comments,providerManagedID,MetadataDate,format,associatedSpecimenReference,type,subtype,metadataLanguage
269219,http://bisque.cyverse.org/image_service/image/00-yHvDuqQ8HPtoReQ7nYXHSU?resize=4000&format=jpeg,http://bisque.cyverse.org/image_service/image/00-yHvDuqQ8HPtoReQ7nYXHSU?resize=4000&format=jpeg,"http://bisque.cyverse.org/image_service/image/00-yHvDuqQ8HPtoReQ7nYXHSU?thumbnail=200,200",http://bisque.cyverse.org/image_service/image/00-yHvDuqQ8HPtoReQ7nYXHSU?resize=1250&format=jpeg,,"University of South Carolina, A. C. Moore Herbarium (USCH)","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:f5605167-7bfb-4c56-93c3-c271d06fca20,"2016-10-11 14:31:35",image/jpeg,http://herbarium.biol.sc.edu/floracaroliniana/collections/individual/index.php?occid=269219,StillImage,Photograph,en
269408,http://bisque.cyverse.org/image_service/image/00-92BC5GcJA5ttHS5gjE52uW?resize=4000&format=jpeg,http://bisque.cyverse.org/image_service/image/00-92BC5GcJA5ttHS5gjE52uW?resize=4000&format=jpeg,"http://bisque.cyverse.org/image_service/image/00-92BC5GcJA5ttHS5gjE52uW?thumbnail=200,200",http://bisque.cyverse.org/image_service/image/00-92BC5GcJA5ttHS5gjE52uW?resize=1250&format=jpeg,,"University of South Carolina, A. C. Moore Herbarium (USCH)","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:f2069228-2596-4e46-bc86-e0973211a1d2,"2016-10-11 14:31:37",image/jpeg,http://herbarium.biol.sc.edu/floracaroliniana/collections/individual/index.php?occid=269408,StillImage,Photograph,en
268943,http://bisque.cyverse.org/image_service/image/00-UmgyVszfb6Pv2uubtKUYES?resize=4000&format=jpeg,http://bisque.cyverse.org/image_service/image/00-UmgyVszfb6Pv2uubtKUYES?resize=4000&format=jpeg,"http://bisque.cyverse.org/image_service/image/00-UmgyVszfb6Pv2uubtKUYES?thumbnail=200,200",http://bisque.cyverse.org/image_service/image/00-UmgyVszfb6Pv2uubtKUYES?resize=1250&format=jpeg,,"University of South Carolina, A. C. Moore Herbarium (USCH)","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:710a2983-f00c-41e9-9ca2-6f2b627c58b8,"2016-10-11 14:31:39",image/jpeg,http://herbarium.biol.sc.edu/floracaroliniana/collections/individual/index.php?occid=268943,StillImage,Photograph,en
268812,http://bisque.cyverse.org/image_service/image/00-RnhD2LqDPW8JefJ79YMf3e?resize=4000&format=jpeg,http://bisque.cyverse.org/image_service/image/00-RnhD2LqDPW8JefJ79YMf3e?resize=4000&format=jpeg,"http://bisque.cyverse.org/image_service/image/00-RnhD2LqDPW8JefJ79YMf3e?thumbnail=200,200",http://bisque.cyverse.org/image_service/image/00-RnhD2LqDPW8JefJ79YMf3e?resize=1250&format=jpeg,,"University of South Carolina, A. C. Moore Herbarium (USCH)","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:7dbc0fa2-3b11-4142-a78c-0e2143917f7e,"2016-10-11 14:31:42",image/jpeg,http://herbarium.biol.sc.edu/floracaroliniana/collections/individual/index.php?occid=268812,StillImage,Photograph,en
269071,http://bisque.cyverse.org/image_service/image/00-KRWa3UJug2ufUrJQG7dfB3?resize=4000&format=jpeg,http://bisque.cyverse.org/image_service/image/00-KRWa3UJug2ufUrJQG7dfB3?resize=4000&format=jpeg,"http://bisque.cyverse.org/image_service/image/00-KRWa3UJug2ufUrJQG7dfB3?thumbnail=200,200",http://bisque.cyverse.org/image_service/image/00-KRWa3UJug2ufUrJQG7dfB3?resize=1250&format=jpeg,,"University of South Carolina, A. C. Moore Herbarium (USCH)","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:31b07ed3-582a-43fb-841b-377f1c1331c2,"2016-10-11 14:31:46",image/jpeg,http://herbarium.biol.sc.edu/floracaroliniana/collections/individual/index.php?occid=269071,StillImage,Photograph,en
269244,http://bisque.cyverse.org/image_service/image/00-NweWZgLYfvNPGkpAUvuNBg?resize=4000&format=jpeg,http://bisque.cyverse.org/image_service/image/00-NweWZgLYfvNPGkpAUvuNBg?resize=4000&format=jpeg,"http://bisque.cyverse.org/image_service/image/00-NweWZgLYfvNPGkpAUvuNBg?thumbnail=200,200",http://bisque.cyverse.org/image_service/image/00-NweWZgLYfvNPGkpAUvuNBg?resize=1250&format=jpeg,,"University of South Carolina, A. C. Moore Herbarium (USCH)","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:c638ce49-6ff3-41ac-af82-eed6c5715d1c,"2016-10-11 14:31:48",image/jpeg,http://herbarium.biol.sc.edu/floracaroliniana/collections/individual/index.php?occid=269244,StillImage,Photograph,en
268792,http://bisque.cyverse.org/image_service/image/00-ccxnhNok7MSeamyRDp2diV?resize=4000&format=jpeg,http://bisque.cyverse.org/image_service/image/00-ccxnhNok7MSeamyRDp2diV?resize=4000&format=jpeg,"http://bisque.cyverse.org/image_service/image/00-ccxnhNok7MSeamyRDp2diV?thumbnail=200,200",http://bisque.cyverse.org/image_service/image/00-ccxnhNok7MSeamyRDp2diV?resize=1250&format=jpeg,,"University of South Carolina, A. C. Moore Herbarium (USCH)","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:3a5eedc7-ada6-4f18-9f53-491dd3fc3a85,"2016-10-11 14:31:49",image/jpeg,http://herbarium.biol.sc.edu/floracaroliniana/collections/individual/index.php?occid=268792,StillImage,Photograph,en
269177,http://bisque.cyverse.org/image_service/image/00-YyxJ2AGp5AyS33GxYD5MUC?resize=4000&format=jpeg,http://bisque.cyverse.org/image_service/image/00-YyxJ2AGp5AyS33GxYD5MUC?resize=4000&format=jpeg,"http://bisque.cyverse.org/image_service/image/00-YyxJ2AGp5AyS33GxYD5MUC?thumbnail=200,200",http://bisque.cyverse.org/image_service/image/00-YyxJ2AGp5AyS33GxYD5MUC?resize=1250&format=jpeg,,"University of South Carolina, A. C. Moore Herbarium (USCH)","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:b0c85233-1630-4632-9165-af21197950dd,"2016-10-11 14:31:51",image/jpeg,http://herbarium.biol.sc.edu/floracaroliniana/collections/individual/index.php?occid=269177,StillImage,Photograph,en
268507,http://bisque.cyverse.org/image_service/image/00-iKfG9LbK9tmtbJW4DweiZ9?resize=4000&format=jpeg,http://bisque.cyverse.org/image_service/image/00-iKfG9LbK9tmtbJW4DweiZ9?resize=4000&format=jpeg,"http://bisque.cyverse.org/image_service/image/00-iKfG9LbK9tmtbJW4DweiZ9?thumbnail=200,200",http://bisque.cyverse.org/image_service/image/00-iKfG9LbK9tmtbJW4DweiZ9?resize=1250&format=jpeg,,"University of South Carolina, A. C. Moore Herbarium (USCH)","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:a0916bf5-392e-45cf-ac90-fe120243785d,"2016-10-11 14:31:58",image/jpeg,http://herbarium.biol.sc.edu/floracaroliniana/collections/individual/index.php?occid=268507,StillImage,Photograph,en
268667,http://bisque.cyverse.org/image_service/image/00-8oiq2EqVXRvHD2x7cwBCTJ?resize=4000&format=jpeg,http://bisque.cyverse.org/image_service/image/00-8oiq2EqVXRvHD2x7cwBCTJ?resize=4000&format=jpeg,"http://bisque.cyverse.org/image_service/image/00-8oiq2EqVXRvHD2x7cwBCTJ?thumbnail=200,200",http://bisque.cyverse.org/image_service/image/00-8oiq2EqVXRvHD2x7cwBCTJ?resize=1250&format=jpeg,,"University of South Carolina, A. C. Moore Herbarium (USCH)","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:3d8598be-0865-4f63-97ac-df224997e6e4,"2016-10-11 14:32:01",image/jpeg,http://herbarium.biol.sc.edu/floracaroliniana/collections/individual/index.php?occid=268667,StillImage,Photograph,en
269331,http://bisque.cyverse.org/image_service/image/00-CGb93sVLPLNfAs5WM4gfe8?resize=4000&format=jpeg,http://bisque.cyverse.org/image_service/image/00-CGb93sVLPLNfAs5WM4gfe8?resize=4000&format=jpeg,"http://bisque.cyverse.org/image_service/image/00-CGb93sVLPLNfAs5WM4gfe8?thumbnail=200,200",http://bisque.cyverse.org/image_service/image/00-CGb93sVLPLNfAs5WM4gfe8?resize=1250&format=jpeg,,"University of South Carolina, A. C. Moore Herbarium (USCH)","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:0c572e1b-496f-4fdd-b0e0-192d612cd53b,"2016-10-11 14:32:05",image/jpeg,http://herbarium.biol.sc.edu/floracaroliniana/collections/individual/index.php?occid=269331,StillImage,Photograph,en
268477,http://bisque.cyverse.org/image_service/image/00-FsepSi6HLZht6qhQDuGDfi?resize=4000&format=jpeg,http://bisque.cyverse.org/image_service/image/00-FsepSi6HLZht6qhQDuGDfi?resize=4000&format=jpeg,"http://bisque.cyverse.org/image_service/image/00-FsepSi6HLZht6qhQDuGDfi?thumbnail=200,200",http://bisque.cyverse.org/image_service/image/00-FsepSi6HLZht6qhQDuGDfi?resize=1250&format=jpeg,,"University of South Carolina, A. C. Moore Herbarium (USCH)","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:c156806a-ddc3-4057-8b80-ff2eea7ada4a,"2016-10-11 14:32:08",image/jpeg,http://herbarium.biol.sc.edu/floracaroliniana/collections/individual/index.php?occid=268477,StillImage,Photograph,en
269269,http://bisque.cyverse.org/image_service/image/00-f7veEn5G3EFr2maBqc8rAR?resize=4000&format=jpeg,http://bisque.cyverse.org/image_service/image/00-f7veEn5G3EFr2maBqc8rAR?resize=4000&format=jpeg,"http://bisque.cyverse.org/image_service/image/00-f7veEn5G3EFr2maBqc8rAR?thumbnail=200,200",http://bisque.cyverse.org/image_service/image/00-f7veEn5G3EFr2maBqc8rAR?resize=1250&format=jpeg,,"University of South Carolina, A. C. Moore Herbarium (USCH)","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:6892a312-caed-4ce2-b26b-881f56da0485,"2016-10-11 14:32:15",image/jpeg,http://herbarium.biol.sc.edu/floracaroliniana/collections/individual/index.php?occid=269269,StillImage,Photograph,en
269354,http://bisque.cyverse.org/image_service/image/00-z5Gvqbvx6jE4dQjvknfg9V?resize=4000&format=jpeg,http://bisque.cyverse.org/image_service/image/00-z5Gvqbvx6jE4dQjvknfg9V?resize=4000&format=jpeg,"http://bisque.cyverse.org/image_service/image/00-z5Gvqbvx6jE4dQjvknfg9V?thumbnail=200,200",http://bisque.cyverse.org/image_service/image/00-z5Gvqbvx6jE4dQjvknfg9V?resize=1250&format=jpeg,,"University of South Carolina, A. C. Moore Herbarium (USCH)","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:e8fd78ca-a3d1-4209-a239-839f4fcc8ec1,"2016-10-11 14:32:21",image/jpeg,http://herbarium.biol.sc.edu/floracaroliniana/collections/individual/index.php?occid=269354,StillImage,Photograph,en
268548,http://bisque.cyverse.org/image_service/image/00-jeVQfzg2wWW9WTyC7xvr84?resize=4000&format=jpeg,http://bisque.cyverse.org/image_service/image/00-jeVQfzg2wWW9WTyC7xvr84?resize=4000&format=jpeg,"http://bisque.cyverse.org/image_service/image/00-jeVQfzg2wWW9WTyC7xvr84?thumbnail=200,200",http://bisque.cyverse.org/image_service/image/00-jeVQfzg2wWW9WTyC7xvr84?resize=1250&format=jpeg,,"University of South Carolina, A. C. Moore Herbarium (USCH)","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:4414e92a-ad25-44be-ac9c-0e31bf52606e,"2016-10-11 14:32:24",image/jpeg,http://herbarium.biol.sc.edu/floracaroliniana/collections/individual/index.php?occid=268548,StillImage,Photograph,en
268585,http://bisque.cyverse.org/image_service/image/00-TLsFPvGKp9nsHe7EyttbHC?resize=4000&format=jpeg,http://bisque.cyverse.org/image_service/image/00-TLsFPvGKp9nsHe7EyttbHC?resize=4000&format=jpeg,"http://bisque.cyverse.org/image_service/image/00-TLsFPvGKp9nsHe7EyttbHC?thumbnail=200,200",http://bisque.cyverse.org/image_service/image/00-TLsFPvGKp9nsHe7EyttbHC?resize=1250&format=jpeg,,"University of South Carolina, A. C. Moore Herbarium (USCH)","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:b760b1f9-bea4-4e42-9ce9-51fd1fc727cd,"2016-10-11 14:32:28",image/jpeg,http://herbarium.biol.sc.edu/floracaroliniana/collections/individual/index.php?occid=268585,StillImage,Photograph,en
269500,http://bisque.cyverse.org/image_service/image/00-mWRmPn6ndJGXoBi4a2eWbT?resize=4000&format=jpeg,http://bisque.cyverse.org/image_service/image/00-mWRmPn6ndJGXoBi4a2eWbT?resize=4000&format=jpeg,"http://bisque.cyverse.org/image_service/image/00-mWRmPn6ndJGXoBi4a2eWbT?thumbnail=200,200",http://bisque.cyverse.org/image_service/image/00-mWRmPn6ndJGXoBi4a2eWbT?resize=1250&format=jpeg,,"University of South Carolina, A. C. Moore Herbarium (USCH)","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:05e6738d-cde5-4657-8ac6-e081a015f285,"2016-10-11 14:32:30",image/jpeg,http://herbarium.biol.sc.edu/floracaroliniana/collections/individual/index.php?occid=269500,StillImage,Photograph,en
268956,http://bisque.cyverse.org/image_service/image/00-7FJmj83rwWU8A3uaoqC6HG?resize=4000&format=jpeg,http://bisque.cyverse.org/image_service/image/00-7FJmj83rwWU8A3uaoqC6HG?resize=4000&format=jpeg,"http://bisque.cyverse.org/image_service/image/00-7FJmj83rwWU8A3uaoqC6HG?thumbnail=200,200",http://bisque.cyverse.org/image_service/image/00-7FJmj83rwWU8A3uaoqC6HG?resize=1250&format=jpeg,,"University of South Carolina, A. C. Moore Herbarium (USCH)","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:d00da477-d2f6-4659-b4d9-c237ccde9c81,"2016-10-11 14:32:34",image/jpeg,http://herbarium.biol.sc.edu/floracaroliniana/collections/individual/index.php?occid=268956,StillImage,Photograph,en
269327,http://bisque.cyverse.org/image_service/image/00-8gvvzRte5nz6UtVviqKnxh?resize=4000&format=jpeg,http://bisque.cyverse.org/image_service/image/00-8gvvzRte5nz6UtVviqKnxh?resize=4000&format=jpeg,"http://bisque.cyverse.org/image_service/image/00-8gvvzRte5nz6UtVviqKnxh?thumbnail=200,200",http://bisque.cyverse.org/image_service/image/00-8gvvzRte5nz6UtVviqKnxh?resize=1250&format=jpeg,,"University of South Carolina, A. C. Moore Herbarium (USCH)","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:72edc350-0d34-4992-9059-2239dd678847,"2016-10-11 14:32:44",image/jpeg,http://herbarium.biol.sc.edu/floracaroliniana/collections/individual/index.php?occid=269327,StillImage,Photograph,en
268711,http://bisque.cyverse.org/image_service/image/00-LvAPoTKpEgYCmzFRu5LfSN?resize=4000&format=jpeg,http://bisque.cyverse.org/image_service/image/00-LvAPoTKpEgYCmzFRu5LfSN?resize=4000&format=jpeg,"http://bisque.cyverse.org/image_service/image/00-LvAPoTKpEgYCmzFRu5LfSN?thumbnail=200,200",http://bisque.cyverse.org/image_service/image/00-LvAPoTKpEgYCmzFRu5LfSN?resize=1250&format=jpeg,,"University of South Carolina, A. C. Moore Herbarium (USCH)","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:065e8420-fb34-481e-b8c1-e274389d940d,"2016-10-11 14:32:50",image/jpeg,http://herbarium.biol.sc.edu/floracaroliniana/collections/individual/index.php?occid=268711,StillImage,Photograph,en
269335,http://bisque.cyverse.org/image_service/image/00-jdjykgvCRYuud2ss3YitrR?resize=4000&format=jpeg,http://bisque.cyverse.org/image_service/image/00-jdjykgvCRYuud2ss3YitrR?resize=4000&format=jpeg,"http://bisque.cyverse.org/image_service/image/00-jdjykgvCRYuud2ss3YitrR?thumbnail=200,200",http://bisque.cyverse.org/image_service/image/00-jdjykgvCRYuud2ss3YitrR?resize=1250&format=jpeg,,"University of South Carolina, A. C. Moore Herbarium (USCH)","CC BY-NC-SA (Attribution-NonCommercial-ShareAlike)",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:39281af1-c232-474a-9c34-ed00fc2ddc5f,"2016-10-11 14:32:53",image/jpeg,http://herbarium.biol.sc.edu/floracaroliniana/collections/individual/index.php?occid=269335,StillImage,Photograph,en
