id,institutionCode,collectionCode,ownerInstitutionCode,collectionID,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,reproductiveCondition,establishmentMeans,lifeStage,sex,individualCount,samplingProtocol,samplingEffort,preparations,country,stateProvince,county,municipality,locality,locationRemarks,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,rights,rightsHolder,accessRights,recordId,references
269381,USCH,HWR,,cfed3174-14e0-4cec-9fa1-45f84c4e891b,PreservedSpecimen,f705a50b-77a3-4229-a3fe-50d3aae66309,HWR-0001619,104371,,,,,Euphorbiaceae,"Chamaesyce bombensis",28681,"(Jacq.) Dugand",Chamaesyce,bombensis,,,"Bradley, Keith",,,,,,,"Chapman, Alvan",,,,,,,,,,"Robert's Key""""",,,,,,mature,,,,,,,,"United States",Florida,"Collier County",,"Caxambas Bay, Florida",,,,,,,,,,,,,,,,,,,,,"2017-04-13 10:17:16",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:e259c9ab-9c70-4a29-841e-ab7608b89174,http://herbarium.biol.sc.edu/floracaroliniana/collections/individual/index.php?occid=269381
293094,USCH,HWR,,cfed3174-14e0-4cec-9fa1-45f84c4e891b,PreservedSpecimen,f728d27e-85c8-4b2a-abfe-8e15df8b4088,HWR-0005037,105018,,,,,Scrophulariaceae,"Gratiola hispida",46390,"(Benth. ex Lindl.) Pollard",Gratiola,hispida,,,,,,,,,,"Chapman, Alvan",,,,,,,,,,,,,,,,"flowering and fruiting",,,,,,,,"United States",Florida,,,Florida,,,,,,,,,,,,,,,,,,,,,"2017-11-16 10:26:32",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:602161ee-4efd-451e-882d-2b2c67ef601b,http://herbarium.biol.sc.edu/floracaroliniana/collections/individual/index.php?occid=293094
558463,USCH,HWR,,cfed3174-14e0-4cec-9fa1-45f84c4e891b,PreservedSpecimen,f73663ef-772d-4cfa-a01b-b5eb17e2c002,HWR-0005658,105705,,,,,Fabaceae,"Galactia mollis",44525,Michx.,Galactia,mollis,,,"Chapman, Herb",,,,,,,,,,,,,,,,,,,,,,,flowering,,,,,,,,"United States",Florida,,,Bristol,,,,,,,,,,,,,,,,,,,,,"2018-02-12 09:26:50",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:bea40404-ac92-4895-8313-df0e79633af1,http://herbarium.biol.sc.edu/floracaroliniana/collections/individual/index.php?occid=558463
294371,USCH,HWR,,cfed3174-14e0-4cec-9fa1-45f84c4e891b,PreservedSpecimen,f73e9b1b-17e5-4024-b73a-51b615b28e84,HWR-0005301,105244,,,,,Convolvulaceae,"Ipomoea lacunosa",49974,L.,Ipomoea,lacunosa,,,"Mead, S.",,,,,,,"Mead, S.",,,,,,,,,,,,,,,,,,,,,,,,"United States",Illinois,,,Illinois,,,,,,,,,,,,,,,,,,,,,"2017-11-22 09:09:23",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:ccb531f5-01ac-466b-ae60-e55334c3bb47,http://herbarium.biol.sc.edu/floracaroliniana/collections/individual/index.php?occid=294371
452558,USCH,HWR,,cfed3174-14e0-4cec-9fa1-45f84c4e891b,PreservedSpecimen,f7422920-e832-4f25-adaf-82b01f4f6528,,102581,,,,,Poaceae,"Agrostis gigantea",15358,Roth,Agrostis,gigantea,,,"Chase, Agnes",,,,,,,"Tuomey, Michael",,,,,,,,,,"Vulgo sed top",,,,,,,,,,,,,,"United States",Virginia,,,Virginia,,,,,,,,,,,,,,,,,,,,,"2017-05-17 09:24:43",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:046d4181-6e70-4ff6-b44d-aa586e6d4850,http://herbarium.biol.sc.edu/floracaroliniana/collections/individual/index.php?occid=452558
268930,USCH,HWR,,cfed3174-14e0-4cec-9fa1-45f84c4e891b,PreservedSpecimen,f755381f-010f-4691-8801-f05aa38ed27b,HWR-0003815,104192,,,,,Euphorbiaceae,"Croton monanthogynus",33465,Michx.,Croton,monanthogynus,,,"Ravenel, H.",,,,,,,"Ravenel, H.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2017-04-13 10:17:16",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:7410017a-b1cd-4e2f-9d68-e176c919666f,http://herbarium.biol.sc.edu/floracaroliniana/collections/individual/index.php?occid=268930
553432,USCH,HWR,,cfed3174-14e0-4cec-9fa1-45f84c4e891b,PreservedSpecimen,f7646795-ede1-4771-9070-7e54951df839,HWR-0005378,121027,,,,,Convolvulaceae,"Ipomoea coccinea",49943,L.,Ipomoea,coccinea,,,"Ravenel, H.",,,,,,,"Ravenel, H.",s.n.,1885-08-31,1885,8,31,243,,,,,,,,,,,,,,,,,,"United States","South Carolina","Aiken County",,Aiken,,,,,,,,,,,,,,,,,,,,,"2017-12-08 09:28:43",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:20307e43-fd7c-4158-9c2e-64ba92716350,http://herbarium.biol.sc.edu/floracaroliniana/collections/individual/index.php?occid=553432
269492,USCH,HWR,,cfed3174-14e0-4cec-9fa1-45f84c4e891b,PreservedSpecimen,f764d44c-82a7-4e44-8945-7c481f41fa52,HWR-0003102,100197,,,,,Cyperaceae,"Carex sprengelii",26817,"Dewey ex Spreng.",Carex,sprengelii,,,"Hermann, F.",,,,,,,"Vasey, George",,,,,,,,,,"Original sheet with this specimen on the left, and a second specimen (""Carex longirostris, Missouri River, near mouth of the Teton River, Herb. Durand."") on the right - J. Nelson 06/08/2007",,,,,,,,,,,,,,"United States","New York",,,"Fish Creek, New York",,,,,,,,,,,,,,,,,,,,,"2017-04-13 10:17:16",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:20cfee38-97bd-49da-a9fc-5438c8952788,http://herbarium.biol.sc.edu/floracaroliniana/collections/individual/index.php?occid=269492
293025,USCH,HWR,,cfed3174-14e0-4cec-9fa1-45f84c4e891b,PreservedSpecimen,f766bb8a-9ee0-4133-8e04-e81ae52fbcfd,HWR-0004922,105039,,,,,Potamogetonaceae,"Potamogeton diversifolius",69316,Raf.,Potamogeton,diversifolius,,,,,,,,,,"Tatnall, Edward",,,,,,,,,,Brandywine,,,,,,,,,,,,,,"United States",Delaware,"New Castle County",,Brandywine,,,,,,,,,,,,,,,,,,,,,"2017-11-16 10:26:32",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:0490672d-722b-41f6-b3ea-e88b4b2e239e,http://herbarium.biol.sc.edu/floracaroliniana/collections/individual/index.php?occid=293025
268705,USCH,HWR,,cfed3174-14e0-4cec-9fa1-45f84c4e891b,PreservedSpecimen,f788a358-5455-4eaf-9d26-8c1e394800e7,HWR-0003054,101748,,,,,Juncaceae,"Juncus repens",50921,Michx.,Juncus,repens,,,"Knapp, Wesley",,,,,,,"Ravenel, H.",,1866-07-02,1866,7,2,183,,,,"Notes are present but mostly illegible",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2017-04-13 10:17:16",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:e57a0ba4-45b1-4a7d-9af9-d9c6dd4fb6fc,http://herbarium.biol.sc.edu/floracaroliniana/collections/individual/index.php?occid=268705
268598,USCH,HWR,,cfed3174-14e0-4cec-9fa1-45f84c4e891b,PreservedSpecimen,f78b9731-a258-4582-a4dd-96baf693a22b,HWR-0003058,100147,,,,,Cyperaceae,"Carex straminea",26832,"Willd. ex Schkuhr",Carex,straminea,,,"Hermann, F.",,,,,,,,,,,,,,,,,"Appears to say """"Maps""""?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2017-04-13 10:17:16",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:5b455c85-8177-425f-8a90-3b48eb04b7e4,http://herbarium.biol.sc.edu/floracaroliniana/collections/individual/index.php?occid=268598
294444,USCH,HWR,,cfed3174-14e0-4cec-9fa1-45f84c4e891b,PreservedSpecimen,f79ca87d-e5d8-49d6-bc31-53c9a52b558b,HWR-0005248,105226,,,,,Poaceae,"Sporobolus clandestinus",79788,"(Biehler) Hitchc.",Sporobolus,clandestinus,,,"Walker, E.",,,,,,,"Ravenel, H.",,1885-08-31,1885,8,31,243,,,,,,,,,,,,,,,,,,"United States","South Carolina","Aiken County",,Aiken,,,,,,,,,,,,,,,,,,,,,"2017-11-22 09:09:23",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:97aa6524-a466-4ca6-b16a-3465d3cbbb8a,http://herbarium.biol.sc.edu/floracaroliniana/collections/individual/index.php?occid=294444
292475,USCH,HWR,,cfed3174-14e0-4cec-9fa1-45f84c4e891b,PreservedSpecimen,f7b5fedf-bfb2-44f4-8346-7351446f0a37,HWR-0004869,121414,,,,,Poaceae,"Eragrostis minor",40803,Host,Eragrostis,minor,,,"Ravenel, H.",,,,,,,"Ravenel, H.",,1869-07-27,1869,7,27,208,,,,"Garden, Aiken S.C.",,,,,,flowering,,,,,,,,"United States","South Carolina","Aiken County",,Aiken,,,,,,,,,,,,,,,,,,,,,"2017-11-08 09:52:10",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:3ce8b7a0-5c71-40b4-ba25-1ab725a6c989,http://herbarium.biol.sc.edu/floracaroliniana/collections/individual/index.php?occid=292475
294479,USCH,HWR,,cfed3174-14e0-4cec-9fa1-45f84c4e891b,PreservedSpecimen,f81ed48b-a4a9-4e96-9125-d2ac0b9ef060,HWR-0005242,105219,,,,,Poaceae,"Sporobolus neglectus",79870,Nash,Sporobolus,neglectus,,,"Walker, E.",,,,,,,"Mead, Samuel",,1842-11-30,1842,11,30,334,,,,,,,,,,,,,,,,,,"United States",Illinois,"Hancock County",,Augusta,,,,,,,,,,,,,,,,,,,,,"2017-11-22 09:09:23",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:1df41d9c-9aae-4958-b348-60fddd968df6,http://herbarium.biol.sc.edu/floracaroliniana/collections/individual/index.php?occid=294479
268686,USCH,HWR,,cfed3174-14e0-4cec-9fa1-45f84c4e891b,PreservedSpecimen,f832e123-55cd-4bc9-ac0c-f77ecb5b697b,HWR-0001616,104346,,,,,Asteraceae,"Eupatorium altissimum",42730,L.,Eupatorium,altissimum,,,"Blake, S.",,,,,,,"Ravenel, H.",,,,,,,,,,,,,,,,flowering,,,,,,,,"United States","North Carolina","Orange County",,"Hillsborough, NC",,,,,,,,,,,,,,,,,,,,,"2017-04-13 10:17:16",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:02f6f5d3-818c-4638-abb3-dabf8dc3b7c7,http://herbarium.biol.sc.edu/floracaroliniana/collections/individual/index.php?occid=268686
268654,USCH,HWR,,cfed3174-14e0-4cec-9fa1-45f84c4e891b,PreservedSpecimen,f8333bcb-c2a5-48e2-a703-6de5256ac63b,HWR-0003034,101757,,,,,Juncaceae,"Juncus bufonius",50815,L.,Juncus,bufonius,,,"Knapp, Wesley",,,,,,,"Willd, Thomas",,1874-11-30,1874,11,30,334,,,,,,,,,,"flowering and fruiting",,,,,,,,"United States",Georgia,,,Georgia,,,,,,,,,,,,,,,,,,,,,"2017-04-13 10:17:16",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:cca8e061-b732-45a3-90d9-3f7282b4c0d5,http://herbarium.biol.sc.edu/floracaroliniana/collections/individual/index.php?occid=268654
268791,USCH,HWR,,cfed3174-14e0-4cec-9fa1-45f84c4e891b,PreservedSpecimen,f8432c68-f69b-4ad2-b225-99d158730de8,HWR-0000435,100888,,,,,Anacardiaceae,"Toxicodendron vernix",82971,"(L.) Kuntze",Toxicodendron,vernix,,,"Pell, Susan",,,,,,,,,,,,,,,,,"Poison Elder, sent from Greenville Co",,,,,,flowering,,,,,,,,"United States","South Carolina","Greenville County",,"Greenville Co., SC",,,,,,,,,,,,,,,,,,,,,"2017-04-13 10:17:16",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:28841a92-dbfd-441c-8fa0-bf65f0edfb65,http://herbarium.biol.sc.edu/floracaroliniana/collections/individual/index.php?occid=268791
287750,USCH,HWR,,cfed3174-14e0-4cec-9fa1-45f84c4e891b,PreservedSpecimen,f86bc3f3-e1f8-41c2-a699-9ea3259f29ec,HWR-0004734,120175,,,,,Lauraceae,"Litsea aestivalis",53506,"(L.) Fern.",Litsea,aestivalis,,,,,,,,,,"Ravenel, H.",,,,,,,,,,,,"field values redacted: locality, habitat",,,,flowering,,,,,,,,"United States","South Carolina",,,,,,,,,,,,,,,,,,,,,,,,"2017-04-13 10:17:21",http://creativecommons.org/licenses/by-nc/4.0/,,,urn:uuid:0fbb8795-3547-41ee-b370-4935338a506b,http://herbarium.biol.sc.edu/floracaroliniana/collections/individual/index.php?occid=287750
